 dia mes anio hora min sec latitud longitud prof mag
204 2017 11 30 18 07 01.420 16.3 -100.77 10.0 1.83
205 2017 11 30 18 07 33.320 16.3 -100.77 10.0 1.81
206 2017 11 30 18 11 56.280 16.3 -100.77 10.0 1.69
207 2017 11 30 19 30 38.440 17.61 -101.37 43.2 2.65
208 2017 11 30 20 56 34.440 16.3 -100.77 10.0 3.23
209 2017 11 30 21 00 11.500 16.3 -100.77 10.0 1.93
210 2017 11 30 21 00 18.340 16.3 -100.77 10.0 1.93
211 2017 11 30 21 37 54.280 16.3 -100.77 10.0 1.97
212 2017 11 30 21 46 24.320 16.3 -100.77 10.0 1.94
213 2017 11 30 21 52 32.180 16.3 -100.77 10.0 3.61
214 2017 11 30 21 54 30.640 16.3 -100.77 10.0 2.0
215 2017 11 30 22 01 09.780 17.19 -100.35 5.0 2.77
216 2017 11 30 22 47 43.020 16.3 -100.77 10.0 1.85
217 2017 12 01 00 34 36.960 16.29 -100.91 14.3 1.28
218 2017 12 01 00 59 34.940 17.59 -101.62 35.5 3.4
219 2017 12 01 01 23 53.760 16.26 -100.91 16.3 1.39
220 2017 12 01 01 50 54.040 16.26 -100.91 16.3 2.26
221 2017 12 01 02 00 11.060 16.26 -100.91 16.3 1.48
222 2017 12 01 02 02 25.220 16.3 -100.77 10.0 1.71
223 2017 12 01 02 36 55.480 16.26 -100.91 16.3 2.22
224 2017 12 01 02 49 25.420 17.24 -101.04 36.2 1.53
225 2017 12 01 03 47 35.480 16.3 -100.77 10.0 1.93
226 2017 12 01 04 00 15.720 16.3 -100.77 10.0 2.32
227 2017 12 01 04 14 20.440 16.3 -100.77 10.0 1.72
228 2017 12 01 04 24 51.760 16.26 -100.91 16.3 1.4
229 2017 12 01 04 38 01.480 16.3 -100.77 10.0 1.61
230 2017 12 01 04 44 56.580 16.3 -100.77 10.0 1.93
231 2017 12 01 04 46 48.480 16.3 -100.77 10.0 1.78
232 2017 12 01 04 48 06.620 16.3 -100.77 10.0 1.59
233 2017 12 01 04 53 06.380 17.24 -101.17 46.3 1.61
234 2017 12 01 05 34 02.400 16.3 -100.77 10.0 1.59
235 2017 12 01 05 54 50.280 16.26 -100.91 14.3 1.51
236 2017 12 01 06 32 55.060 17.12 -100.24 39.5 2.24
237 2017 12 01 07 58 22.320 17.12 -100.14 35.0 1.86
238 2017 12 01 09 13 37.940 16.9 -100.34 18.0 2.61
239 2017 12 01 09 15 32.840 16.3 -100.77 10.0 1.89
240 2017 12 01 09 33 23.720 16.26 -100.91 16.3 1.7
241 2017 12 01 09 52 12.220 17.12 -100.14 35.0 1.66
242 2017 12 01 09 52 26.820 17.12 -100.14 35.0 1.63
243 2017 12 01 10 19 56.880 16.26 -100.91 16.3 1.67
244 2017 12 01 10 23 45.900 16.2 -100.94 12.3 2.04
245 2017 12 01 10 26 03.480 16.2 -100.94 12.3 2.64
246 2017 12 01 12 49 50.840 17.12 -100.14 35.0 1.7
247 2017 12 01 13 00 44.640 17.12 -100.14 35.0 1.9
248 2017 12 01 13 05 22.900 17.12 -100.14 35.0 1.61
249 2017 12 01 18 41 42.540 16.27 -100.86 19.4 2.67
250 2017 12 01 20 15 31.640 16.26 -100.91 16.3 1.91
251 2017 12 01 20 23 17.680 16.27 -100.86 19.4 2.09
252 2017 12 01 20 35 44.660 16.27 -100.86 19.4 2.25
